sample_idx,subject,session,emotion_code,emotion_name,class_idx,n_frames_orig,padded,npy_path
26,S032,005,3,disgust,1,16,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S032_005_disgust.npy
27,S032,006,5,happiness,3,16,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S032_006_happiness.npy
28,S034,001,7,surprise,5,29,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S034_001_surprise.npy
29,S034,003,1,anger,0,27,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S034_003_anger.npy
30,S034,005,5,happiness,3,10,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S034_005_happiness.npy
31,S035,001,7,surprise,5,15,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S035_001_surprise.npy
32,S035,005,3,disgust,1,19,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S035_005_disgust.npy
33,S035,006,5,happiness,3,18,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S035_006_happiness.npy
34,S037,001,7,surprise,5,20,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S037_001_surprise.npy
35,S037,003,1,anger,0,22,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S037_003_anger.npy
36,S037,006,5,happiness,3,21,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S037_006_happiness.npy
37,S042,001,7,surprise,5,19,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S042_001_surprise.npy
38,S042,002,6,sadness,4,16,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S042_002_sadness.npy
39,S042,004,1,anger,0,20,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S042_004_anger.npy
40,S042,006,5,happiness,3,17,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S042_006_happiness.npy
41,S044,001,7,surprise,5,24,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S044_001_surprise.npy
42,S044,003,5,happiness,3,14,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S044_003_happiness.npy
43,S044,006,3,disgust,1,19,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S044_006_disgust.npy
44,S045,004,3,disgust,1,15,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S045_004_disgust.npy
45,S045,005,1,anger,0,30,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S045_005_anger.npy
46,S046,001,6,sadness,4,25,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S046_001_sadness.npy
47,S046,002,7,surprise,5,6,True,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S046_002_surprise.npy
48,S046,003,4,fear,2,16,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S046_003_fear.npy
49,S046,004,3,disgust,1,17,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S046_004_disgust.npy
50,S050,001,4,fear,2,17,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S050_001_fear.npy
51,S050,002,7,surprise,5,18,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S050_002_surprise.npy
52,S050,004,1,anger,0,21,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S050_004_anger.npy
53,S050,006,5,happiness,3,23,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S050_006_happiness.npy
54,S051,002,7,surprise,5,19,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S051_002_surprise.npy
55,S051,003,3,disgust,1,18,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S051_003_disgust.npy
56,S052,001,7,surprise,5,15,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S052_001_surprise.npy
57,S052,004,5,happiness,3,33,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S052_004_happiness.npy
58,S052,006,3,disgust,1,13,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S052_006_disgust.npy
59,S053,001,7,surprise,5,23,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S053_001_surprise.npy
60,S053,004,5,happiness,3,24,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S053_004_happiness.npy
61,S054,002,4,fear,2,15,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S054_002_fear.npy
62,S054,003,7,surprise,5,7,True,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S054_003_surprise.npy
63,S054,004,3,disgust,1,24,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S054_004_disgust.npy
64,S055,001,7,surprise,5,12,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S055_001_surprise.npy
65,S055,003,3,disgust,1,9,True,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S055_003_disgust.npy
66,S055,004,1,anger,0,28,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S055_004_anger.npy
67,S055,005,5,happiness,3,45,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S055_005_happiness.npy
68,S055,006,4,fear,2,8,True,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S055_006_fear.npy
69,S056,002,3,disgust,1,10,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S056_002_disgust.npy
70,S056,003,7,surprise,5,10,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S056_003_surprise.npy
71,S056,004,5,happiness,3,20,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S056_004_happiness.npy
72,S057,001,7,surprise,5,19,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S057_001_surprise.npy
73,S057,003,3,disgust,1,15,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S057_003_disgust.npy
74,S057,006,5,happiness,3,33,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S057_006_happiness.npy
75,S058,001,7,surprise,5,20,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S058_001_surprise.npy
76,S058,005,1,anger,0,10,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S058_005_anger.npy
77,S058,006,3,disgust,1,18,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S058_006_disgust.npy
78,S059,001,7,surprise,5,18,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S059_001_surprise.npy
79,S059,002,4,fear,2,17,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S059_002_fear.npy
80,S060,002,5,happiness,3,26,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S060_002_happiness.npy
81,S060,003,7,surprise,5,18,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S060_003_surprise.npy
82,S060,005,3,disgust,1,21,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S060_005_disgust.npy
83,S061,001,7,surprise,5,12,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S061_001_surprise.npy
84,S061,002,5,happiness,3,15,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S061_002_happiness.npy
85,S061,004,3,disgust,1,22,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S061_004_disgust.npy
86,S062,001,4,fear,2,17,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S062_001_fear.npy
87,S062,002,7,surprise,5,16,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S062_002_surprise.npy
88,S062,004,5,happiness,3,24,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S062_004_happiness.npy
89,S062,005,3,disgust,1,29,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S062_005_disgust.npy
90,S063,001,7,surprise,5,13,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S063_001_surprise.npy
91,S063,002,5,happiness,3,23,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S063_002_happiness.npy
92,S064,001,7,surprise,5,12,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S064_001_surprise.npy
93,S064,003,5,happiness,3,25,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S064_003_happiness.npy
94,S064,004,6,sadness,4,14,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S064_004_sadness.npy
95,S065,002,4,fear,2,22,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S065_002_fear.npy
96,S065,003,7,surprise,5,22,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S065_003_surprise.npy
97,S065,004,5,happiness,3,28,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S065_004_happiness.npy
98,S065,005,3,disgust,1,8,True,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S065_005_disgust.npy
99,S066,002,7,surprise,5,22,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S066_002_surprise.npy
100,S066,003,5,happiness,3,12,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S066_003_happiness.npy
101,S066,004,6,sadness,4,10,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S066_004_sadness.npy
102,S066,005,1,anger,0,11,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S066_005_anger.npy
103,S067,002,7,surprise,5,14,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S067_002_surprise.npy
104,S067,004,1,anger,0,23,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S067_004_anger.npy
105,S067,005,5,happiness,3,22,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S067_005_happiness.npy
106,S067,006,3,disgust,1,11,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S067_006_disgust.npy
107,S068,002,5,happiness,3,15,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S068_002_happiness.npy
108,S068,003,7,surprise,5,14,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S068_003_surprise.npy
109,S068,004,4,fear,2,10,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S068_004_fear.npy
110,S068,005,3,disgust,1,21,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S068_005_disgust.npy
111,S069,002,7,surprise,5,14,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S069_002_surprise.npy
112,S069,003,3,disgust,1,11,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S069_003_disgust.npy
113,S069,004,5,happiness,3,17,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S069_004_happiness.npy
114,S070,002,7,surprise,5,16,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S070_002_surprise.npy
115,S070,003,5,happiness,3,17,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S070_003_happiness.npy
116,S070,005,3,disgust,1,16,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S070_005_disgust.npy
117,S071,001,7,surprise,5,13,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S071_001_surprise.npy
118,S071,002,6,sadness,4,20,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S071_002_sadness.npy
119,S071,004,1,anger,0,28,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S071_004_anger.npy
120,S071,005,5,happiness,3,21,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S071_005_happiness.npy
121,S071,006,3,disgust,1,14,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S071_006_disgust.npy
122,S072,005,1,anger,0,19,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S072_005_anger.npy
123,S072,006,5,happiness,3,22,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S072_006_happiness.npy
124,S073,001,7,surprise,5,13,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S073_001_surprise.npy
125,S073,006,3,disgust,1,14,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S073_006_disgust.npy
126,S074,001,4,fear,2,20,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S074_001_fear.npy
127,S074,002,7,surprise,5,16,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S074_002_surprise.npy
128,S074,004,3,disgust,1,18,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S074_004_disgust.npy
129,S074,005,5,happiness,3,43,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S074_005_happiness.npy
130,S075,002,7,surprise,5,14,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S075_002_surprise.npy
131,S075,005,3,disgust,1,12,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S075_005_disgust.npy
132,S075,006,5,happiness,3,25,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S075_006_happiness.npy
133,S075,008,1,anger,0,12,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S075_008_anger.npy
134,S076,001,7,surprise,5,17,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S076_001_surprise.npy
135,S076,005,3,disgust,1,12,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S076_005_disgust.npy
136,S076,006,5,happiness,3,19,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S076_006_happiness.npy
137,S077,001,7,surprise,5,28,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S077_001_surprise.npy
138,S077,006,3,disgust,1,14,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S077_006_disgust.npy
139,S078,001,7,surprise,5,33,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S078_001_surprise.npy
140,S078,004,5,happiness,3,27,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S078_004_happiness.npy
141,S078,007,3,disgust,1,13,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S078_007_disgust.npy
142,S079,001,7,surprise,5,12,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S079_001_surprise.npy
143,S079,002,3,disgust,1,12,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S079_002_disgust.npy
144,S079,004,5,happiness,3,26,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S079_004_happiness.npy
145,S080,001,7,surprise,5,18,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S080_001_surprise.npy
146,S080,005,6,sadness,4,13,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S080_005_sadness.npy
147,S080,008,3,disgust,1,9,True,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S080_008_disgust.npy
148,S081,001,7,surprise,5,19,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S081_001_surprise.npy
149,S081,002,6,sadness,4,24,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S081_002_sadness.npy
150,S081,008,3,disgust,1,11,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S081_008_disgust.npy
151,S082,001,7,surprise,5,15,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S082_001_surprise.npy
152,S082,005,1,anger,0,17,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S082_005_anger.npy
153,S082,007,3,disgust,1,10,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S082_007_disgust.npy
154,S083,003,5,happiness,3,19,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S083_003_happiness.npy
155,S084,001,7,surprise,5,10,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S084_001_surprise.npy
156,S084,002,4,fear,2,23,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S084_002_fear.npy
157,S085,002,5,happiness,3,14,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S085_002_happiness.npy
158,S085,003,7,surprise,5,13,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S085_003_surprise.npy
159,S085,004,3,disgust,1,17,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S085_004_disgust.npy
160,S086,001,7,surprise,5,19,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S086_001_surprise.npy
161,S086,002,5,happiness,3,15,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S086_002_happiness.npy
162,S087,001,7,surprise,5,11,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S087_001_surprise.npy
163,S087,004,3,disgust,1,12,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S087_004_disgust.npy
164,S087,005,5,happiness,3,12,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S087_005_happiness.npy
165,S087,007,1,anger,0,16,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S087_007_anger.npy
166,S088,001,7,surprise,5,17,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S088_001_surprise.npy
167,S088,004,3,disgust,1,20,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S088_004_disgust.npy
168,S089,001,7,surprise,5,16,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S089_001_surprise.npy
169,S089,002,5,happiness,3,21,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S089_002_happiness.npy
170,S089,003,1,anger,0,36,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S089_003_anger.npy
171,S090,002,7,surprise,5,11,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S090_002_surprise.npy
172,S090,006,3,disgust,1,11,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S090_006_disgust.npy
173,S090,007,1,anger,0,14,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S090_007_anger.npy
174,S091,001,4,fear,2,15,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S091_001_fear.npy
175,S091,003,5,happiness,3,21,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S091_003_happiness.npy
176,S092,001,7,surprise,5,17,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S092_001_surprise.npy
177,S092,003,1,anger,0,14,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S092_003_anger.npy
178,S092,004,5,happiness,3,24,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S092_004_happiness.npy
179,S093,001,6,sadness,4,20,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S093_001_sadness.npy
180,S093,004,5,happiness,3,16,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S093_004_happiness.npy
181,S094,001,7,surprise,5,10,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S094_001_surprise.npy
182,S094,004,5,happiness,3,12,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S094_004_happiness.npy
183,S095,001,7,surprise,5,16,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S095_001_surprise.npy
184,S095,006,3,disgust,1,13,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S095_006_disgust.npy
185,S095,007,5,happiness,3,21,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S095_007_happiness.npy
186,S095,010,6,sadness,4,14,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S095_010_sadness.npy
187,S096,001,7,surprise,5,7,True,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S096_001_surprise.npy
188,S096,003,3,disgust,1,12,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S096_003_disgust.npy
189,S096,004,5,happiness,3,11,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S096_004_happiness.npy
190,S097,001,7,surprise,5,21,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S097_001_surprise.npy
191,S097,004,3,disgust,1,30,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S097_004_disgust.npy
192,S097,006,5,happiness,3,19,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S097_006_happiness.npy
193,S098,003,3,disgust,1,13,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S098_003_disgust.npy
194,S098,004,5,happiness,3,15,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S098_004_happiness.npy
195,S099,001,7,surprise,5,14,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S099_001_surprise.npy
196,S099,004,5,happiness,3,15,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S099_004_happiness.npy
197,S099,007,3,disgust,1,12,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S099_007_disgust.npy
198,S100,002,7,surprise,5,15,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S100_002_surprise.npy
